date;hour;wday;variable;sensor;value;variable_SINCA;sensor_SINCA;value_SINCA
06-06-2025 19:00;19;vie\,;PM25;P1;156,25;PM25;SINCA;36
06-06-2025 19:00;19;vie\,;PM25;P2;160,85;PM25;SINCA;36
06-06-2025 19:00;19;vie\,;PM25;P3;154,617;PM25;SINCA;36
06-06-2025 19:00;19;vie\,;PM25;P4;180,95;PM25;SINCA;36
06-06-2025 19:00;19;vie\,;PM25;P5;165,517;PM25;SINCA;36
06-06-2025 20:00;20;vie\,;PM25;P1;156,9;PM25;SINCA;39
06-06-2025 20:00;20;vie\,;PM25;P2;161,1;PM25;SINCA;39
06-06-2025 20:00;20;vie\,;PM25;P3;154,467;PM25;SINCA;39
06-06-2025 20:00;20;vie\,;PM25;P4;182,817;PM25;SINCA;39
06-06-2025 20:00;20;vie\,;PM25;P5;166,467;PM25;SINCA;39
06-06-2025 21:00;21;vie\,;PM25;P1;157,233;PM25;SINCA;39
06-06-2025 21:00;21;vie\,;PM25;P2;161,35;PM25;SINCA;39
06-06-2025 21:00;21;vie\,;PM25;P3;155,083;PM25;SINCA;39
06-06-2025 21:00;21;vie\,;PM25;P4;184,4;PM25;SINCA;39
